,trade_date
1859,20150626
1860,20150625
1861,20150624
1862,20150623
1863,20150619
1864,20150618
1865,20150617
1866,20150616
1867,20150615
1868,20150612
1869,20150611
1870,20150610
1871,20150609
1872,20150608
1873,20150605
1874,20150604
1875,20150603
1876,20150602
1877,20150601
1878,20150529
1879,20150528
1880,20150527
1881,20150526
1882,20150525
1883,20150522
1884,20150521
1885,20150520
1886,20150519
1887,20150518
1888,20150515
1889,20150514
1890,20150513
1891,20150512
1892,20150511
1893,20150508
1894,20150507
1895,20150506
1896,20150505
1897,20150504
1898,20150430
1899,20150429
1900,20150407
1901,20150403
1902,20150402
1903,20150401
1904,20150331
1905,20150330
1906,20150327
1907,20150326
1908,20150325
1909,20150324
1910,20150323
1911,20150320
1912,20150319
1913,20150318
1914,20150317
1915,20150316
1916,20150313
1917,20150312
1918,20150311
1919,20150310
1920,20150309
1921,20150306
1922,20150305
1923,20150304
1924,20150303
1925,20150302
1926,20150227
1927,20150226
1928,20150225
1929,20150217
1930,20150216
1931,20150213
1932,20150212
1933,20150211
1934,20150210
1935,20150209
1936,20150206
1937,20150205
1938,20150204
1939,20150203
1940,20150202
1941,20150130
1942,20150129
1943,20150128
1944,20150127
1945,20150126
1946,20150123
1947,20150122
1948,20150121
1949,20150120
1950,20150119
1951,20150116
1952,20150115
1953,20150114
1954,20150113
1955,20150112
1956,20150109
1957,20150108
1958,20150107
1959,20150106
1960,20150105
1961,20141231
1962,20141230
1963,20141229
1964,20141226
1965,20141225
1966,20141224
1967,20141223
1968,20141222
1969,20141219
1970,20141218
1971,20141217
1972,20141216
1973,20141215
1974,20141212
1975,20141211
1976,20141210
1977,20141209
1978,20141208
1979,20141205
1980,20141204
1981,20141203
1982,20141202
1983,20141201
1984,20141128
1985,20141127
1986,20141126
1987,20141125
1988,20141124
1989,20141121
1990,20141120
1991,20141119
1992,20141118
1993,20141117
1994,20141114
1995,20141113
1996,20141112
1997,20141111
1998,20141110
1999,20141107
2000,20141106
2001,20141105
2002,20141104
2003,20141103
2004,20141031
2005,20141030
2006,20141029
2007,20141028
2008,20141027
2009,20141024
2010,20141023
2011,20141022
2012,20141021
2013,20141020
2014,20141017
2015,20141016
2016,20141015
2017,20141014
2018,20141013
2019,20141010
2020,20141009
2021,20141008
2022,20140930
2023,20140929
2024,20140926
2025,20140925
2026,20140924
2027,20140923
2028,20140922
2029,20140919
2030,20140918
2031,20140917
2032,20140916
2033,20140915
2034,20140912
2035,20140911
2036,20140910
2037,20140909
2038,20140905
2039,20140904
2040,20140903
2041,20140902
2042,20140901
2043,20140829
2044,20140828
2045,20140827
2046,20140826
2047,20140825
2048,20140822
2049,20140821
2050,20140820
2051,20140819
2052,20140818
2053,20140815
2054,20140814
2055,20140813
2056,20140812
2057,20140811
2058,20140808
2059,20140807
2060,20140806
2061,20140805
2062,20140804
2063,20140801
2064,20140731
2065,20140730
2066,20140729
2067,20140728
2068,20140725
2069,20140724
2070,20140723
2071,20140722
2072,20140721
2073,20140718
2074,20140717
2075,20140716
2076,20140715
2077,20140714
2078,20140711
2079,20140710
2080,20140709
2081,20140708
2082,20140707
2083,20140704
2084,20140703
2085,20140702
2086,20140701
2087,20140630
2088,20140627
2089,20140626
2090,20140625
2091,20140624
2092,20140623
2093,20140620
2094,20140619
2095,20140618
2096,20140617
2097,20140616
2098,20140613
2099,20140612
2100,20140611
2101,20140610
2102,20140609
2103,20140606
2104,20140605
2105,20140604
2106,20140603
2107,20140530
2108,20140529
2109,20140528
2110,20140527
2111,20140526
2112,20140523
2113,20140522
2114,20140521
2115,20140520
2116,20140519
2117,20140516
2118,20140515
2119,20140514
2120,20140513
2121,20140512
2122,20140509
2123,20140508
2124,20140507
2125,20140506
2126,20140505
2127,20140430
2128,20140429
2129,20140428
2130,20140425
2131,20140424
2132,20140423
2133,20140422
2134,20140421
2135,20140418
2136,20140417
2137,20140416
2138,20140415
